Date,"Coal Richards Bay 4800kcal NAR fob, London close, USD/t","Coal Richards Bay 5500kcal NAR fob, London close, USD/t","Coal Richards Bay 5700kcal NAR fob, London close, USD/t","Coal Richards Bay 6000kcal NAR fob current week avg, No time stamp, USD/t","Coal India 5500kcal NAR cfr, London close, USD/t",Crude Oil_Price,Brent Oil_Price,Dubai Crude_Price,Dutch TTF_Price,Natural Gas_Price
2020-06-01,34.53,43.62,53.26,55.27,50.96,35.79,38.32,38.32,4.055,1.871
2020-06-02,34.53,43.62,53.26,55.27,50.96,37.06,39.57,39.17,4.85,1.876
2020-06-03,34.53,43.62,53.26,55.27,50.96,37.59,39.79,39.26,5.33,1.915
2020-06-04,34.53,43.62,53.26,55.27,50.96,37.72,39.99,39.15,5.39,1.917
2020-06-05,36.7,45.35,55.02,59.32,53.47,39.8,42.3,41.32,5.71,1.886
2020-06-08,36.7,45.35,55.02,59.32,53.47,38.43,40.8,40.69,5.25,1.892
2020-06-09,36.7,45.35,55.02,59.32,53.47,39.16,41.18,40.82,4.805,1.863
2020-06-10,36.7,45.35,55.02,59.32,53.47,39.78,41.73,41.52,4.8,1.87
2020-06-11,36.7,45.35,55.02,59.32,53.47,36.57,38.55,39.44,4.99,1.9
2020-06-12,34.1,42.0,51.58,55.34,50.81,36.51,38.73,39.5,5.275,1.815
2020-06-15,34.1,42.0,51.58,55.34,50.81,37.43,39.72,39.85,5.515,1.76
2020-06-16,34.1,42.0,51.58,55.34,50.81,38.65,40.96,40.28,5.26,1.701
2020-06-17,34.1,42.0,51.58,55.34,50.81,38.21,40.71,40.23,5.21,1.727
2020-06-18,34.1,42.0,51.58,55.34,50.81,39.05,41.51,40.63,5.45,1.728
2020-06-19,32.91,40.96,50.86,54.15,51.71,39.83,42.19,41.07,5.615,1.748
2020-06-22,32.91,40.96,50.86,54.15,51.71,40.73,43.08,41.12,5.495,1.738
2020-06-23,32.91,40.96,50.86,54.15,51.71,40.51,42.63,41.04,5.83,1.691
2020-06-24,32.91,40.96,50.86,54.15,51.71,38.21,40.31,40.64,5.665,1.661
2020-06-25,32.91,40.96,50.86,54.15,51.71,38.91,41.05,40.78,5.255,1.546
2020-06-26,32.54,40.3,48.43,50.05,51.45,38.65,41.02,40.81,5.105,1.544
2020-06-29,32.54,40.3,48.43,50.05,51.45,39.81,41.71,40.8,5.84,1.754
2020-06-30,32.54,40.3,48.43,50.05,51.45,39.34,41.15,40.79,6.165,1.789
2020-07-01,32.54,40.3,48.43,50.05,51.45,39.92,42.03,42.26,5.865,1.721
2020-07-02,32.54,40.3,48.43,50.05,51.45,40.76,43.14,43.2,5.945,1.785
2020-07-03,32.61,40.2,49.91,53.15,49.92,40.28,42.8,43.2,5.945,1.746
2020-07-06,32.61,40.2,49.91,53.15,49.92,40.73,43.1,42.89,6.095,1.893
2020-07-07,32.61,40.2,49.91,53.15,49.92,40.7,43.08,43.09,6.125,1.939
2020-07-08,32.61,40.2,49.91,53.15,49.92,41.04,43.29,43.29,5.935,1.876
2020-07-09,32.61,40.2,49.91,53.15,49.92,39.83,42.35,42.79,5.755,1.821
2020-07-10,33.5,40.83,50.12,53.56,51.16,40.76,43.24,43.4,5.475,1.847
2020-07-13,33.5,40.83,50.12,53.56,51.16,40.32,42.72,43.1,5.11,1.797
2020-07-14,33.5,40.83,50.12,53.56,51.16,40.55,42.9,43.22,5.085,1.787
2020-07-15,33.5,40.83,50.12,53.56,51.16,41.4,43.79,43.78,5.225,1.818
2020-07-16,33.5,40.83,50.12,53.56,51.16,40.93,43.37,43.3,5.06,1.776
2020-07-17,33.01,40.43,49.88,54.84,51.88,40.75,43.14,43.0,5.115,1.765
2020-07-20,33.01,40.43,49.88,54.84,51.88,40.92,43.28,43.05,4.73,1.684
2020-07-21,33.01,40.43,49.88,54.84,51.88,41.92,44.32,43.58,4.79,1.714
2020-07-22,33.01,40.43,49.88,54.84,51.88,42.04,44.29,43.62,4.83,1.718
2020-07-23,33.01,40.43,49.88,54.84,51.88,41.21,43.31,43.3,4.985,1.835
2020-07-24,32.56,40.01,49.17,53.33,50.61,41.45,43.34,43.28,5.01,1.867
2020-07-27,32.56,40.01,49.17,53.33,50.61,41.8,43.41,43.33,4.785,1.786
2020-07-28,32.56,40.01,49.17,53.33,50.61,41.28,43.22,43.28,4.96,1.864
2020-07-29,32.56,40.01,49.17,53.33,50.61,41.54,43.75,43.29,5.175,1.93
2020-07-30,32.56,40.01,49.17,53.33,50.61,40.24,42.94,43.28,5.225,1.991
2020-07-31,32.07,39.97,48.83,52.12,49.7,40.57,43.3,42.54,6.025,1.957
2020-08-03,32.07,39.97,48.83,52.12,49.7,41.31,44.15,43.39,6.8,2.239
2020-08-04,32.07,39.97,48.83,52.12,49.7,41.91,44.43,43.4,7.355,2.334
2020-08-05,32.07,39.97,48.83,52.12,49.7,42.43,45.17,43.88,7.32,2.331
2020-08-06,32.07,39.97,48.83,52.12,49.7,42.2,45.09,43.61,7.94,2.305
2020-08-07,33.21,41.52,50.12,54.02,51.84,41.49,44.4,43.33,7.93,2.376
2020-08-10,33.21,41.52,50.12,54.02,51.84,42.17,44.99,43.78,7.59,2.287
2020-08-11,33.21,41.52,50.12,54.02,51.84,41.87,44.5,43.38,7.415,2.311
2020-08-12,33.21,41.52,50.12,54.02,51.84,42.95,45.43,43.97,7.17,2.297
2020-08-13,33.21,41.52,50.12,54.02,51.84,42.52,44.96,43.59,7.31,2.324
2020-08-14,32.24,41.5,49.83,54.21,53.43,42.31,44.8,43.39,8.02,2.495
2020-08-17,32.24,41.5,49.83,54.21,53.43,43.17,45.37,43.78,8.18,2.476
2020-08-18,32.24,41.5,49.83,54.21,53.43,43.12,45.46,43.96,8.55,2.556
2020-08-19,32.24,41.5,49.83,54.21,53.43,43.11,45.37,43.96,8.355,2.563
2020-08-20,32.24,41.5,49.83,54.21,53.43,42.82,44.9,43.78,8.15,2.503
2020-08-21,34.0,44.09,51.33,56.36,54.22,42.62,44.35,43.69,7.62,2.573
2020-08-24,34.0,44.09,51.33,56.36,54.22,42.93,45.13,43.91,8.36,2.616
2020-08-25,34.0,44.09,51.33,56.36,54.22,43.65,45.86,44.0,8.865,2.596
2020-08-26,34.0,44.09,51.33,56.36,54.22,43.69,45.64,43.96,9.15,2.574
2020-08-27,34.0,44.09,51.33,56.36,54.22,43.31,45.09,43.96,8.87,2.71
2020-08-28,33.42,44.2,51.22,55.91,55.28,43.29,45.05,43.94,11.17,2.916
2020-08-31,33.42,44.2,51.22,55.91,55.28,42.9,45.28,43.99,11.24,2.92
2020-09-01,33.42,44.2,51.22,55.91,55.28,43.08,45.58,44.85,11.295,2.901
2020-09-02,33.42,44.2,51.22,55.91,55.28,41.85,44.43,43.83,11.11,2.931
2020-09-03,33.42,44.2,51.22,55.91,55.28,41.72,44.07,43.61,11.735,2.927
2020-09-04,34.32,45.09,52.71,57.13,56.0,40.15,42.66,42.61,11.68,2.987
2020-09-07,34.32,45.09,52.71,57.13,56.0,39.2,42.01,42.61,11.68,2.541
2020-09-08,34.32,45.09,52.71,57.13,56.0,37.19,39.78,40.2,10.8,2.892
2020-09-09,34.32,45.09,52.71,57.13,56.0,38.41,40.79,40.78,10.735,2.873
2020-09-10,34.32,45.09,52.71,57.13,56.0,37.66,40.06,40.25,10.515,2.798
2020-09-11,33.14,43.56,51.58,55.72,55.52,37.65,39.83,40.24,10.495,2.744
2020-09-14,33.14,43.56,51.58,55.72,55.52,37.56,39.61,40.15,10.705,2.74
2020-09-15,33.14,43.56,51.58,55.72,55.52,38.55,40.53,40.69,10.895,2.741
2020-09-16,33.14,43.56,51.58,55.72,55.52,40.41,42.22,41.58,11.32,2.664
2020-09-17,33.14,43.56,51.58,55.72,55.52,41.22,43.3,42.02,11.12,2.577
2020-09-18,34.18,45.13,53.19,56.18,55.66,41.32,43.15,42.01,11.475,2.633
2020-09-21,34.18,45.13,53.19,56.18,55.66,39.54,41.44,41.41,11.495,2.71
